name,votes,round,value,vote_pct,rank,eliminated_after_round
Eric L. Adams,288654 (30.8%),1,288654,30.8,1,NA
Maya D. Wiley,199778 (21.3%),1,199778,21.3,2,7
Kathryn A. Garcia,183433 (19.6%),1,183433,19.6,3,NA
Andrew Yang,114639 (12.2%),1,114639,12.2,4,6
Scott M. Stringer,51534 (5.5%),1,51534,5.5,5,5
Dianne Morales,26374 (2.8%),1,26374,2.8,6,5
Raymond J. McGuire,25074 (2.7%),1,25074,2.7,7,5
Shaun Donovan,23074 (2.5%),1,23074,2.5,8,4
Aaron S. Foldenauer,7729 (0.8%),1,7729,0.8,9,3
Art Chang,7023 (0.7%),1,7023,0.7,10,3
Paperboy Love Prince,3934 (0.4%),1,3934,0.4,11,3
Joycelyn Taylor,2652 (0.3%),1,2652,0.3,12,3
Isaac Wright Jr.,2234 (0.2%),1,2234,0.2,13,2
Inactive ballots,0 with no choices left,1,0,0,15,NA
Write-ins,1567 (0.2%),1,1567,0.2,14,1
Eric L. Adams,288854 (30.8%),2,288854,30.8,1,NA
Maya D. Wiley,199844 (21.3%),2,199844,21.3,2,7
Kathryn A. Garcia,183541 (19.6%),2,183541,19.6,3,NA
Andrew Yang,114810 (12.3%),2,114810,12.3,4,6
Scott M. Stringer,51606 (5.5%),2,51606,5.5,5,5
Dianne Morales,26413 (2.8%),2,26413,2.8,6,5
Raymond J. McGuire,25104 (2.7%),2,25104,2.7,7,5
Shaun Donovan,23096 (2.5%),2,23096,2.5,8,4
Aaron S. Foldenauer,7745 (0.8%),2,7745,0.8,9,3
Art Chang,7039 (0.8%),2,7039,0.8,10,3
Paperboy Love Prince,3977 (0.4%),2,3977,0.4,11,3
Joycelyn Taylor,2673 (0.3%),2,2673,0.3,12,3
Isaac Wright Jr.,2246 (0.2%),2,2246,0.2,13,2
Inactive ballots,751 with no choices left,2,751,0,14,NA
Write-ins,eliminated,2,0,0,15,1
Eric L. Adams,289304 (30.9%),3,289304,30.9,1,NA
Maya D. Wiley,200167 (21.4%),3,200167,21.4,2,7
Kathryn A. Garcia,183637 (19.6%),3,183637,19.6,3,NA
Andrew Yang,115011 (12.3%),3,115011,12.3,4,6
Scott M. Stringer,51707 (5.5%),3,51707,5.5,5,5
Dianne Morales,26524 (2.8%),3,26524,2.8,6,5
Raymond J. McGuire,25250 (2.7%),3,25250,2.7,7,5
Shaun Donovan,23221 (2.5%),3,23221,2.5,8,4
Aaron S. Foldenauer,7806 (0.8%),3,7806,0.8,9,3
Art Chang,7068 (0.8%),3,7068,0.8,10,3
Paperboy Love Prince,4030 (0.4%),3,4030,0.4,11,3
Joycelyn Taylor,2770 (0.3%),3,2770,0.3,12,3
Inactive ballots,1204 with no choices left,3,1204,0,13,NA
Isaac Wright Jr.,eliminated,3,0,0,14,2
Write-ins,eliminated,3,0,0,15,1
Eric L. Adams,291047 (31.2%),4,291047,31.2,1,NA
Maya D. Wiley,204628 (21.9%),4,204628,21.9,2,7
Kathryn A. Garcia,185693 (19.9%),4,185693,19.9,3,NA
Andrew Yang,117513 (12.6%),4,117513,12.6,4,6
Scott M. Stringer,53351 (5.7%),4,53351,5.7,5,5
Dianne Morales,30032 (3.2%),4,30032,3.2,6,5
Raymond J. McGuire,26187 (2.8%),4,26187,2.8,7,5
Shaun Donovan,23945 (2.6%),4,23945,2.6,8,4
Inactive ballots,5303 with no choices left,4,5303,0,9,NA
Aaron S. Foldenauer,eliminated,4,0,0,10,3
Art Chang,eliminated,4,0,0,11,3
Paperboy Love Prince,eliminated,4,0,0,12,3
Joycelyn Taylor,eliminated,4,0,0,13,3
Isaac Wright Jr.,eliminated,4,0,0,14,2
Write-ins,eliminated,4,0,0,15,1
Eric L. Adams,295030 (31.7%),5,295030,31.7,1,NA
Maya D. Wiley,207709 (22.3%),5,207709,22.3,2,7
Kathryn A. Garcia,190813 (20.5%),5,190813,20.5,3,NA
Andrew Yang,121085 (13.0%),5,121085,13,4,6
Scott M. Stringer,56465 (6.1%),5,56465,6.1,5,5
Dianne Morales,30803 (3.3%),5,30803,3.3,6,5
Raymond J. McGuire,27752 (3.0%),5,27752,3,7,5
Inactive ballots,8042 with no choices left,5,8042,0,8,NA
Shaun Donovan,eliminated,5,0,0,9,4
Aaron S. Foldenauer,eliminated,5,0,0,10,3
Art Chang,eliminated,5,0,0,11,3
Paperboy Love Prince,eliminated,5,0,0,12,3
Joycelyn Taylor,eliminated,5,0,0,13,3
Isaac Wright Jr.,eliminated,5,0,0,14,2
Write-ins,eliminated,5,0,0,15,1
Eric L. Adams,316234 (34.7%),6,316234,34.7,1,NA
Maya D. Wiley,237621 (26.1%),6,237621,26.1,2,7
Kathryn A. Garcia,222389 (24.4%),6,222389,24.4,3,NA
Andrew Yang,135096 (14.8%),6,135096,14.8,4,6
Inactive ballots,26359 with no choices left,6,26359,0,5,NA
Scott M. Stringer,eliminated,6,0,0,6,5
Dianne Morales,eliminated,6,0,0,7,5
Raymond J. McGuire,eliminated,6,0,0,8,5
Shaun Donovan,eliminated,6,0,0,9,4
Aaron S. Foldenauer,eliminated,6,0,0,10,3
Art Chang,eliminated,6,0,0,11,3
Paperboy Love Prince,eliminated,6,0,0,12,3
Joycelyn Taylor,eliminated,6,0,0,13,3
Isaac Wright Jr.,eliminated,6,0,0,14,2
Write-ins,eliminated,6,0,0,15,1
Eric L. Adams,353664 (40.5%),7,353664,40.5,1,NA
Kathryn A. Garcia,265461 (30.4%),7,265461,30.4,2,NA
Maya D. Wiley,253094 (29.0%),7,253094,29,3,7
Inactive ballots,65480 with no choices left,7,65480,0,4,NA
Andrew Yang,eliminated,7,0,0,5,6
Scott M. Stringer,eliminated,7,0,0,6,5
Dianne Morales,eliminated,7,0,0,7,5
Raymond J. McGuire,eliminated,7,0,0,8,5
Shaun Donovan,eliminated,7,0,0,9,4
Aaron S. Foldenauer,eliminated,7,0,0,10,3
Art Chang,eliminated,7,0,0,11,3
Paperboy Love Prince,eliminated,7,0,0,12,3
Joycelyn Taylor,eliminated,7,0,0,13,3
Isaac Wright Jr.,eliminated,7,0,0,14,2
Write-ins,eliminated,7,0,0,15,1
Eric L. Adams,403333 (50.5%),8,403333,50.5,1,NA
Kathryn A. Garcia,394907 (49.5%),8,394907,49.5,2,NA
Inactive ballots,139459 with no choices left,8,139459,0,3,NA
Maya D. Wiley,eliminated,8,0,0,4,7
Andrew Yang,eliminated,8,0,0,5,6
Scott M. Stringer,eliminated,8,0,0,6,5
Dianne Morales,eliminated,8,0,0,7,5
Raymond J. McGuire,eliminated,8,0,0,8,5
Shaun Donovan,eliminated,8,0,0,9,4
Aaron S. Foldenauer,eliminated,8,0,0,10,3
Art Chang,eliminated,8,0,0,11,3
Paperboy Love Prince,eliminated,8,0,0,12,3
Joycelyn Taylor,eliminated,8,0,0,13,3
Isaac Wright Jr.,eliminated,8,0,0,14,2
